-8.98	3.37	4.98
-8.47	3.26	5.1
-8.75	2.24	5.73
-7.73	3.41	5.33
-11.77	4.47	5.37
-7.96	4.16	4.75
-10.28	0.59	4.16
-10.4	0.55	4.39
-12.75	0.47	4.55
-10.51	-1.73	4.75
-10.4	-4.59	3.92
-16.4	3.84	4.86
-9.18	-3.69	5.77
-9.73	-6.16	5.73
-8.28	-6.94	5.45
-20.44	8.79	7.1
-6.32	-8.43	6.75
-13.18	6.28	7.3
-4.47	-10.79	7.06
-9.22	1.02	8.08
-16.4	15.1	8.47
-10.04	-0.31	8
-3.73	-2.75	8.51
-6.08	-3.3	9.14
-8.47	-0.63	8.16
-7.61	0.35	9.06
0.24	-7.92	9.3
-11.45	4.63	7.69
-1.26	-1.73	9.49
-3.37	-0.9	9.69
-7.53	5.14	9.81
-14.83	-0.78	9.57
-0.82	-3.06	9.85
-3.06	1.69	10.28
-8.63	-2.79	9.89
-3.06	3.92	10.43
-7.96	4.35	11.45
-10.16	11.18	9.3
4.24	-1.37	9.06
-6.75	7.61	9.3
-16.83	18.04	8.28
5.26	-0.51	8.43
-10.28	11.14	9.34
-8.55	9.73	8.32
0.75	4.59	8.51
-5.73	3.14	7.53
-10.36	7.53	7.53
1.29	6.9	7.69
-14.75	9.73	6.86
-6.2	7.45	6.16
-2.2	3.84	5.65
-8.36	7.69	5.37
-8.28	7.73	5.88
-5.3	5.69	5.18
-4.04	7.22	5.53
-9.77	11.81	5.14
-10.08	8.98	5.14
-7.3	11.06	5.45
-10.04	13.14	5.14
-9.02	12.75	4.98
-7.22	13.93	5.88
-4.51	16.04	5.92
-10	10.83	5.57
-4.75	13.06	6.55
-3.18	15.81	6.71
-2.79	12.98	7.57
-14.28	7.92	7.81
-19.89	7.14	8.08
3.73	11.77	8.98
0.86	10.94	10
4	10.12	9.38
-10.9	4.43	8.08
13.93	11.41	10.94
-24.99	-5.92	11.18
-6.16	0.9	12.94
14.87	6.51	12.87
-12.79	-0.27	9.81
5.41	2.86	11.53
-26.52	-9.89	12.4
-1.57	4.08	13.61
9.38	-2.79	10.32
-22.32	-5.18	8.98
-2.9	-4.67	11.89
-6.59	-0.35	10.43
-0.75	-4.08	10.55
-9.96	-1.22	10.08
5.53	-9.89	9.3
-26.99	-0.39	9.41
-7.14	-2.71	10.87
6.08	-6.67	9.34
-14.08	-4.04	6.98
-4.79	-4.79	8.24
-14.67	-6.04	8.24
